,4s,6s,Balls,date,dis,grnd,inn,mins,pos,runs,sr
83,4,1,72,8 Sep 2007,caught,Lord's,1,98,7,50,69.44
84,-,-,-,29 Sep 2007,-,Bangalore,2,-,-,DNB,-
85,2,2,88,2 Oct 2007,caught,Kochi,2,134,6,58,65.90
86,4,0,37,5 Oct 2007,caught,Hyderabad (Deccan),2,49,6,33,89.18
87,5,1,35,8 Oct 2007,not out,Chandigarh,1,59,4,50*,142.85
88,1,0,7,11 Oct 2007,caught,Vadodara,1,12,6,4,57.14
89,2,1,29,14 Oct 2007,caught,Nagpur,2,44,6,26,89.65
90,1,0,11,17 Oct 2007,caught,Mumbai,2,22,6,5,45.45
91,8,0,77,5 Nov 2007,caught,Guwahati,2,106,4,63,81.81
92,0,0,10,8 Nov 2007,caught,Mohali,1,24,6,4,40.00
93,4,2,52,11 Nov 2007,bowled,Kanpur,1,61,5,49,94.23
94,3,1,45,15 Nov 2007,not out,Gwalior,2,72,6,45*,100.00
95,1,0,32,18 Nov 2007,caught,Jaipur,2,53,7,24,75.00
96,1,0,61,3 Feb 2008,caught,Brisbane,1,102,6,37,60.65
97,5,1,95,5 Feb 2008,not out,Brisbane,1,124,6,88*,92.63
98,0,0,54,10 Feb 2008,not out,Melbourne,2,72,7,17*,31.48
99,3,0,26,12 Feb 2008,run out,Canberra,1,33,5,31,119.23
100,1,0,50,17 Feb 2008,run out,Adelaide,2,97,6,37,74.00
101,0,0,68,19 Feb 2008,not out,Adelaide,2,140,6,50*,73.52
102,4,0,66,24 Feb 2008,caught,Sydney,2,84,6,36,54.54
103,-,-,-,26 Feb 2008,-,Hobart,2,-,-,DNB,-
104,3,0,12,2 Mar 2008,not out,Sydney,2,21,6,15*,125.00
105,2,1,37,4 Mar 2008,caught,Brisbane,1,52,5,36,97.29
106,5,0,23,10 Jun 2008,lbw,Dhaka,1,23,6,24,104.34
107,-,-,-,12 Jun 2008,-,Dhaka,2,-,-,DNB,-
108,3,2,59,14 Jun 2008,caught,Dhaka,2,95,7,64,108.47
109,6,6,96,25 Jun 2008,not out,Karachi,1,121,4,109*,113.54
110,0,1,30,26 Jun 2008,not out,Karachi,2,38,5,26*,86.66
111,-,-,-,28 Jun 2008,-,Karachi,2,-,-,DNB,-
112,4,0,96,2 Jul 2008,caught,Karachi,1,150,5,76,79.16
113,5,1,62,3 Jul 2008,bowled,Karachi,2,78,4,67,108.06
114,4,0,74,6 Jul 2008,caught,Karachi,2,104,5,49,66.21
115,0,0,28,18 Aug 2008,caught,Dambulla,1,30,6,6,21.42
116,3,0,54,20 Aug 2008,bowled,Dambulla,2,88,5,39,72.22
117,8,0,80,24 Aug 2008,caught,Colombo (RPS),1,99,6,76,95.00
118,4,0,80,27 Aug 2008,caught,Colombo (RPS),1,104,5,71,88.75
119,0,0,7,29 Aug 2008,bowled,Colombo (RPS),2,17,6,1,14.28
120,3,1,32,14 Nov 2008,bowled,Rajkot,1,46,6,39,121.87
121,1,0,26,17 Nov 2008,bowled,Indore,1,31,6,15,57.69
122,4,0,51,20 Nov 2008,not out,Kanpur,2,70,6,29*,56.86
123,0,1,5,23 Nov 2008,bowled,Bangalore,1,5,5,9,180.00
124,5,0,61,26 Nov 2008,lbw,Cuttack,2,87,4,50,81.96
125,5,0,65,28 Jan 2009,not out,Dambulla,2,85,5,61*,93.84
126,0,0,35,31 Jan 2009,caught,Colombo (RPS),1,55,6,23,65.71
127,1,0,45,3 Feb 2009,not out,Colombo (RPS),1,70,5,35*,77.77
128,4,2,96,5 Feb 2009,caught,Colombo (RPS),1,140,3,94,97.91
129,1,2,58,8 Feb 2009,caught,Colombo (RPS),2,85,6,53,91.37
130,6,0,89,3 Mar 2009,not out,Napier,1,120,3,84*,94.38
131,2,0,19,6 Mar 2009,not out,Wellington,1,-,5,23*,121.05
132,5,2,58,8 Mar 2009,caught,Christchurch,1,76,5,68,117.24
133,-,-,-,11 Mar 2009,-,Hamilton,2,-,-,DNB,-
134,1,0,21,14 Mar 2009,bowled,Auckland,1,19,6,9,42.85
135,2,1,46,26 Jun 2009,run out,Kingston,1,81,5,41,89.13
136,6,2,130,28 Jun 2009,bowled,Kingston,1,201,5,95,73.07
137,2,1,34,3 Jul 2009,not out,Gros Islet,2,50,3,46*,135.29
138,-,-,-,5 Jul 2009,-,Gros Islet,-,-,-,TDNB,-
139,4,0,65,11 Sep 2009,not out,Colombo (RPS),2,86,5,35*,53.84
140,0,0,18,12 Sep 2009,bowled,Colombo (RPS),2,24,6,8,44.44
141,3,0,62,14 Sep 2009,caught,Colombo (RPS),1,82,3,56,90.32
142,0,0,9,26 Sep 2009,lbw,Centurion,2,8,5,3,33.33
143,-,-,-,28 Sep 2009,-,Centurion,-,-,-,TDNB,-
144,-,-,-,30 Sep 2009,-,Johannesburg,2,-,-,DNB,-
145,4,0,46,25 Oct 2009,caught,Vadodara,2,75,5,34,73.91
146,9,3,107,28 Oct 2009,caught,Nagpur,1,141,5,124,115.88
147,6,0,95,31 Oct 2009,not out,Delhi,2,153,5,71*,74.73
